"filename", "language", "JavaScript", "Batch", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "Markdown", "YAML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\CalculationsSubModal\OpinionPoolingSubModal copy\OpinionPoolingSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 9, 29
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\CalculationsSubModal\OpinionPoolingSubModal\OpinionPoolingSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 14, 92
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\CalculationsSubModal\OpinionPoolingSubModal\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\CalculationsSubModal\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\GridSubModal\AxisSubModal\AxisSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 490, 0, 75, 565
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\GridSubModal\AxisSubModal\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\GridSubModal\GridSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 35, 223
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\GridSubModal\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SurveyNodeSettingsModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 1, 28, 165
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
